,,,,,,,,,,,,,,,,,"0","0"
"Бренд","Группа","Код","Артикул","Номенклатура","Наименование полное","Характеристика номенклатуры","Размер","Сезон","Ссылка","Штрихкод","Цена EUR","Цена USD","Цена РУБ","Свободный остаток","Процент","Цена со скидкой","Заказ","Сумма уе"
"540 SNOWBOARDS","Ботинки сноубордические","10695","7072-A20017-A","Ботинки сноубордические женские LIBERTY WHITE","Ботинки сноубордические женские 540 Snowboards LIBERTY WHITE","7072-A20017-A, 8, F17","8","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10695&dispatch=products.search","2017000035138",,"105",,"2","45","57.75",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10693","7072-A20015-B","Ботинки сноубордические женские SUPREME BLACK","Ботинки сноубордические женские 540 Snowboards SUPREME BLACK","7072-A20015-B, 8, F17","8","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10693&dispatch=products.search","2017000035084",,"91",,"более 3","45","50.05",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10693","7072-A20015-B","Ботинки сноубордические женские SUPREME BLACK","Ботинки сноубордические женские 540 Snowboards SUPREME BLACK","7072-A20015-B, 9, F17","9","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10693&dispatch=products.search","2017000035091",,"91",,"3","45","50.05",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10692","7072-A20015-A","Ботинки сноубордические женские SUPREME WHITE","Ботинки сноубордические женские 540 Snowboards SUPREME WHITE","7072-A20015-A, 8, F17","8","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10692&dispatch=products.search","2017000035053",,"91",,"2","45","50.05",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10692","7072-A20015-A","Ботинки сноубордические женские SUPREME WHITE","Ботинки сноубордические женские 540 Snowboards SUPREME WHITE","7072-A20015-A, 9, F17","9","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10692&dispatch=products.search","2017000035060",,"91",,"1","45","50.05",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10690","7072-A20012-A","Ботинки сноубордические мужские FORCE BLACK","Ботинки сноубордические мужские 540 Snowboards FORCE BLACK","7072-A20012-A, 6, F17","6","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10690&dispatch=products.search","2017000037248",,"91",,"1","45","50.05",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10690","7072-A20012-A","Ботинки сноубордические мужские FORCE BLACK","Ботинки сноубордические мужские 540 Snowboards FORCE BLACK","7072-A20012-A, 9, F17","9","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10690&dispatch=products.search","2017000034926",,"91",,"1","45","50.05",,"0"
"540 SNOWBOARDS","Ботинки сноубордические","10691","7072-A20014-A","Ботинки сноубордические мужские REBEL BLACK","Ботинки сноубордические мужские 540 Snowboards REBEL BLACK","7072-A20014-A, 11, F17","11","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10691&dispatch=products.search","2017000035008",,"105",,"1","45","57.75",,"0"
"540 SNOWBOARDS","Сноуборды","10679","101-21704-D","Сноуборд женский LUNA GREEN","Сноуборд женский 540 Snowboards LUNA GREEN","101-21704-D, 149, F17","149","F17","http://b2b.skiboard.ru/?subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=10679&dispatch=products.search","2017000034704",,"178",,"1","45","97.9",,"0"
